model,description,count,BERTScore,BERTScore_std,BLEU,BLEU_std,SARI,SARI_std,Perplexity,Perplexity_std,FKGL_Delta,FKGL_Delta_std,FRE_Delta,FRE_Delta_std,FKGL_Output,FKGL_Output_std,FRE_Output,FRE_Output_std,Entity_Additions_Rate,Number_Mismatch_Rate,LENS,LENS_std
sonar,step 2 - RAG top k=3 with upgrated prompt,40,0.891077058017254,0.0178281530131437,0.171440738927141,0.0806747671449277,42.5778451091636,4.34535743725022,39.8913326740265,10.9089897377003,-6.88844158033105,1.9285964791951,23.8770690157274,8.02563674252024,4.66381854876574,1.47677348998683,76.5159220336034,8.40185679500878,,,47.2424375521896,17.0297552938829
llama3.2,step 2 - RAG top k=3 with upgrated prompt,40,0.793840196728706,0.0107560242577527,0.00282312138866718,0.00220734940710954,28.5270875377328,3.07179715994706,23.5094536781311,9.72731491695685,2.38071042980283,5.73877779716051,-15.9316289818241,20.1997302104571,13.9329705588996,5.50472091795738,36.7072240360519,17.7364029872718,,,35.9221369091454,16.5815025707789
gpt-4o-mini,step 2 - RAG top k=3 with upgrated prompt,40,0.892079703509808,0.01768264511142,0.157813371279111,0.0738308559682797,43.2475340022736,4.5469707316009,26.6697216510773,4.916912303779,-4.41874529019496,1.37162893146776,16.4063295419496,5.91390741639303,7.13351483890182,1.12377365181394,69.0451825598255,6.45776780926163,,,71.5325605731359,6.81849457410531
gemini-2.0-flash,step 2 - RAG top k=3 with upgrated prompt,40,0.8847462490201,0.0118482792273773,0.123672691999764,0.0355328406703948,42.0621711545723,3.733005168019,26.6319291591644,5.94902013538409,-8.09847263738944,1.80683886370215,32.6477374009512,7.80158994321848,3.45378749170734,0.762930708090599,85.2865904188272,4.44324227789551,,,64.7435056203184,10.0871103646295
