model,description,count,BERTScore,BERTScore_std,BLEU,BLEU_std,SARI,SARI_std,Perplexity,Perplexity_std,FKGL_Delta,FKGL_Delta_std,FRE_Delta,FRE_Delta_std,FKGL_Output,FKGL_Output_std,FRE_Output,FRE_Output_std,Entity_Additions_Rate,Number_Mismatch_Rate
gemini-2.0-flash,step 1 - simple prompt engineering,40,0.86812587082386,0.0115352903278897,0.0645893731363255,0.0302240911795574,37.8195740789638,3.84696880007763,27.6021500587463,5.32400821567654,-8.87599624404562,1.85551188112899,36.2248602838434,8.48754558675657,2.67626388505116,0.767820284538135,88.8637133017194,5.04545905555129,,
gpt-4o-mini,step 1 - simple prompt engineering,40,0.890796476602554,0.0150172110827755,0.157342629149243,0.0655492793932365,43.550385173836,4.0736475846106,27.8671927690506,5.1686860295925,-5.34361436485449,1.56528668474615,19.0903604750024,6.25440815446786,6.20864576424229,1.28122439495314,71.7292134928784,7.5169379928684,,
sonar-pro,step 1 - simple prompt engineering,40,0.859948682785034,0.0213011296258409,0.147432487163027,0.0740672008372548,41.4691617274984,4.39026558817259,26.8318799257278,14.9276290642068,-7.29281979596515,1.87695478477818,25.187132215655,8.10265109605954,4.25944033313164,1.26043410033534,77.8259852335309,7.91616106667868,,
sonar,step 1 - simple prompt engineering,40,0.856040984392166,0.0206434252351943,0.130466814747541,0.0766880959775281,40.4848477200043,4.15741988978094,28.3909402132034,15.9688508395408,-7.1344248921031,1.78052054693436,24.2651491237346,7.72160426758056,4.41783523699368,1.30189062730755,76.9040021416105,7.79617689261698,,
llama3.2,step 1 - simple prompt engineering,40,0.850927470624447,0.00945617390279175,0.0332976891233496,0.0242382922095564,33.9183921549822,3.28470185759193,31.539088010788,9.61232298792946,-4.71045720397559,1.89976951572177,18.715607907499,8.71470904413473,6.84180292512119,1.07592333799806,71.3544609253749,5.99051215186577,,
