model,count,BERTScore,BERTScore_std,BLEU,BLEU_std,SARI,SARI_std,Perplexity,Perplexity_std,FKGL_Delta,FKGL_Delta_std,FRE_Delta,FRE_Delta_std,FKGL_Output,FKGL_Output_std,FRE_Output,FRE_Output_std,Entity_Additions_Rate,Number_Mismatch_Rate
sonar-pro,40,0.861076773703098,0.0194189865247098,0.0538477625195489,0.0347376455324549,36.7705418028646,4.37980973846955,40.1547647953033,13.2683522029994,-7.27488262373286,2.66386176360428,28.849638878185,11.5184178702405,4.27737750536392,1.88129718110985,81.488491896061,8.18367775956095,,
llama3.2,40,0.846063840389252,0.00917785132100197,0.0307061346669394,0.0192369373049141,33.6616683438509,3.12839281824134,24.6169412612915,5.75894380433196,-3.80370220249657,1.84903502860221,15.709299832038,8.57591206527805,7.74855792660021,1.03785335386336,68.3481528499139,5.6085111226705,,
gpt-4o-mini,40,0.875137872993946,0.0131499376430549,0.0788204951521936,0.0438213009606523,38.907786914265,4.53385304108646,24.5849940538406,4.10829193100219,-4.57776888910807,1.52927786731346,17.9432611781289,6.58909098388794,6.97449123998872,1.20258725968444,70.5821141960049,6.37682102608498,,
gemini-2.0-flash,40,0.846150596439838,0.0115680453585066,0.020643746190537,0.0161996871633762,33.0557633729695,3.51284515874156,20.5805622816086,5.20675813743604,-7.62466755852433,2.09724411357833,31.887203937728,9.78878575766231,3.92759257057245,0.916651911475948,84.526056955604,5.03045982425929,,
