model,description,count,BERTScore,BERTScore_std,BLEU,BLEU_std,SARI,SARI_std,Perplexity,Perplexity_std,FKGL_Delta,FKGL_Delta_std,FRE_Delta,FRE_Delta_std,FKGL_Output,FKGL_Output_std,FRE_Output,FRE_Output_std,Entity_Additions_Rate,Number_Mismatch_Rate,LENS,LENS_std
sonar,step 2 - RAG top k=3,40,0.876372413337231,0.0337694988209575,0.171786746452695,0.0975524266789456,40.7551789181729,6.86180357329265,34.4270851135254,11.7580609272203,-5.92408977043784,3.14372653170271,19.8604685042595,13.3744154149404,5.62817035865894,3.03620170718987,72.4993215221354,14.2378519097638,,,42.8238224019104,15.5964121202967
llama3.2,step 2 - RAG top k=3,40,0.795478187501431,0.00902332078099127,0.00280338004157874,0.00231534354877845,28.6233056534008,2.72306782326442,24.3571670293808,11.4390744326149,2.41850345772108,4.83935266027462,-16.3688339431449,18.9520251049529,13.9707635868179,4.67560612824042,36.2700190747311,18.6047339879808,,,37.1557036205442,14.494808792133
gemini-2.0-flash,step 2 - RAG top k=3,40,0.874827906489372,0.0128004669212579,0.0899250334470744,0.0356054903020141,39.6253551671104,3.71076282827966,26.74750893116,5.76223054756733,-8.56777815958546,1.8403386969556,34.7695022568924,8.24005058333423,2.98448196951131,0.729382744471043,87.4083552747683,4.37751414566262,,,57.7542840181183,14.5305172608287
gpt-4o-mini,step 2 - RAG top k=3,40,0.884512823820114,0.0180685841074405,0.14089949110649,0.0526894884782658,42.4696138198622,4.35304388921855,25.9249855518341,4.82006539829382,-4.66381992660906,1.50699375764372,17.1963343412877,6.38412744470724,6.88844020248772,1.25477591347395,69.8351873591637,7.0255369357016,,,66.9529721470682,10.7309649120518
