model,description,count,BERTScore,BERTScore_std,BLEU,BLEU_std,SARI,SARI_std,Perplexity,Perplexity_std,FKGL_Delta,FKGL_Delta_std,FRE_Delta,FRE_Delta_std,FKGL_Output,FKGL_Output_std,FRE_Output,FRE_Output_std,Entity_Additions_Rate,Number_Mismatch_Rate
llama3.2,step 1 - simple prompt engineering,40,0.857864585518837,0.00963774564659584,0.0323221866975493,0.0242648472936887,34.0974304369586,3.51762185892405,30.8083107948303,8.89603450052698,-4.20130030528608,2.07330203862114,15.5002158365196,9.09893927198882,7.3509598238107,1.13652467346469,68.1390688543955,6.96398628261462,,
gemini-2.0-flash,step 1 - simple prompt engineering,40,0.872016045451164,0.0121162410848045,0.0753042419239409,0.0295493807308558,38.7984569952159,3.74901225589227,28.9048567056656,8.17793687717521,-8.66133893450418,1.9157423248171,34.8931206801583,9.01348822850073,2.8909211945926,0.701054012182043,87.5319736980342,4.77311520404555,,
sonar-pro,step 1 - simple prompt engineering,40,0.868112732470036,0.0220763903842529,0.150039424330011,0.0845236802381878,41.4848644480992,4.76490940183655,28.6030040025711,15.5825905481622,-7.24449126337418,1.86798978797,25.515522525912,8.61527528397309,4.3077688657226,1.51709267815514,78.1543755437879,9.0887299841863,,
sonar,step 1 - simple prompt engineering,40,0.866452071070671,0.0264971865347413,0.138467628913454,0.0892336579047347,40.5577726786647,4.50038200134461,33.0370065689087,17.5799080949204,-7.11443275883924,2.8085840980819,25.4981960587975,11.3247118780212,4.43782737025754,2.10852310388398,78.1370490766734,9.61527202098264,,
gpt-4o-mini,step 1 - simple prompt engineering,40,0.888856936991215,0.0149517202173733,0.143500413039192,0.0705293906831294,42.860393909732,4.71620216243021,27.722825717926,4.96107911321436,-5.11480489163294,1.34435422965407,18.2425358884526,5.32357447737363,6.43745523746383,1.15922377647006,70.8813889063285,7.1156226042752,,
