model,description,count,BERTScore,BERTScore_std,BLEU,BLEU_std,SARI,SARI_std,Perplexity,Perplexity_std,FKGL_Delta,FKGL_Delta_std,FRE_Delta,FRE_Delta_std,FKGL_Output,FKGL_Output_std,FRE_Output,FRE_Output_std,Entity_Additions_Rate,Number_Mismatch_Rate
sonar-pro,step 1 - simple prompt engineering,40,0.867989037930965,0.0230548721538993,0.0881950574720963,0.068173426113349,38.2592733457551,5.82578781830068,41.5552006721497,13.5055260028761,-7.14033787921517,2.478368564087,26.0246960327842,11.304452086767,4.41192224988161,1.61567683382888,78.6635490506601,8.79981073150052,,
gpt-4o-mini,step 1 - simple prompt engineering,40,0.881001126766205,0.0201911343930575,0.115164311988409,0.0582040595102476,40.6670349456393,4.77847259219856,27.4207423686981,7.05252554246802,-5.24411626332957,1.73163785477392,18.4797218505499,7.85135454110135,6.30814386576721,1.23369698347965,71.1185748684258,7.07398766975271,,
sonar,step 1 - simple prompt engineering,40,0.87435769289732,0.0163516460719968,0.0941535141502085,0.0652240991959081,39.1195446938509,4.56627048015374,47.1041742324829,15.4884048028367,-7.869054532127,1.85785489907861,29.57681571677,8.4909398547997,3.68320559696978,1.13141867792892,82.215668734646,6.66195954498273,,
gemini-2.0-flash,step 1 - simple prompt engineering,40,0.873070888221264,0.011397167958599,0.0781233398703835,0.0353672801474174,39.3870055652644,3.88573163235523,25.5394830465317,7.57936935066448,-8.15978617965011,1.85347947500476,32.1787620262135,8.37115481658025,3.39247394944667,0.706899496829657,84.8176150440895,4.64412649002838,,
llama3.2,step 1 - simple prompt engineering,40,0.853842402994633,0.0138789371642059,0.03056718087194,0.0206340510460157,34.2834547201399,3.26122724817344,31.0035964012146,8.75510236421986,-4.20585972238565,1.73417831248248,15.8654107630222,7.24153241321103,7.34640040671114,1.39851863000027,68.5042637808981,7.16139750466094,,
