model,description,count,BERTScore,BERTScore_std,BLEU,BLEU_std,SARI,SARI_std,Perplexity,Perplexity_std,FKGL_Delta,FKGL_Delta_std,FRE_Delta,FRE_Delta_std,FKGL_Output,FKGL_Output_std,FRE_Output,FRE_Output_std,Entity_Additions_Rate,Number_Mismatch_Rate,LENS,LENS_std
llama3.2,step 2 - RAG top k=3 with upgrated prompt,40,0.795241411030293,0.00885382038190509,0.00299702443365288,0.00194239800470554,28.6894215926107,2.87589229937816,23.1955215930939,10.9381786488689,1.06679613104129,3.17862468850371,-12.2822368963451,17.5073352370393,12.6190562601381,2.56896470131539,40.3566161215308,15.0197047457217,,,40.7131017929336,12.8128952095073
gemini-2.0-flash,step 2 - RAG top k=3 with upgrated prompt,40,0.886642096936703,0.0136295995448615,0.131450000537727,0.0457963225492635,42.5687629094681,4.26086780305768,23.4348793029785,4.98567468541054,-7.42980019412046,1.73610250460587,29.1424353586814,7.65025661349311,4.12245993497633,0.730588516891047,81.7812883765574,4.42000994858186,,,72.8699020381878,7.37462276567427
sonar,step 2 - RAG top k=3 with upgrated prompt,40,0.882566145062447,0.0226202611613872,0.120779177622092,0.0588459200345347,41.006421831087,5.01966835182345,38.3211240768433,11.8525955436892,-7.04369974881677,2.67235587149208,25.4149237834902,12.1825544660184,4.50856038028001,1.91881437871064,78.0537768013662,9.47550466621997,,,54.255414625418,15.8085408696684
gpt-4o-mini,step 2 - RAG top k=3 with upgrated prompt,40,0.874363331496716,0.0159920022340564,0.0819628907933073,0.0429090371412894,38.7505978756815,4.20595130003774,26.1242065429688,4.57508191805627,-4.33620649080392,1.38468130970216,15.3286716416376,5.82757535605394,7.21605363829287,1.1584842476682,67.9675246595135,6.17354965548387,,,76.3316913701979,5.60602785952374
