model,description,count,BERTScore,BERTScore_std,BLEU,BLEU_std,SARI,SARI_std,Perplexity,Perplexity_std,FKGL_Delta,FKGL_Delta_std,FRE_Delta,FRE_Delta_std,FKGL_Output,FKGL_Output_std,FRE_Output,FRE_Output_std,Entity_Additions_Rate,Number_Mismatch_Rate,LENS,LENS_std
gpt-4o-mini,step 2 - RAG top k=3,40,0.873638747632503,0.0258364951736409,0.0997330389299725,0.0524436462560901,40.3047039444095,5.10004454766945,20.6309523582458,4.96504608712323,-5.0357746015253,1.91371853778033,18.2238384595406,8.64123081993673,6.51648552757148,1.37800519271792,70.8626914774165,7.57319863356895,,,66.6217789705597,9.89285862294764
gemini-2.0-flash,step 2 - RAG top k=3,40,0.877556744217873,0.0127799591255387,0.0888375739072393,0.0355863502015129,39.8326447046794,4.02458069418649,24.1687416315079,4.72247892468554,-8.25251698047691,1.87484246274136,32.6083285171156,8.50097422557424,3.29974314861987,0.763953527493356,85.2471815349915,4.94891466222242,,,65.4456947303238,13.5332593094801
sonar,step 2 - RAG top k=3,40,0.885711979866028,0.0180942792671488,0.153183115964538,0.0830840775798006,41.5697367008099,3.7491885736364,40.6725671768188,13.7465336215813,-7.1116126851883,1.9100052025354,25.9086907858161,8.32753842426817,4.44064744390848,1.55424248722864,78.5475438036921,8.85413607655854,,,45.6114157577834,15.2588685762823
llama3.2,step 2 - RAG top k=3,40,0.79432036280632,0.010175477107086,0.00289940577973722,0.00215128770598494,28.6189392597879,3.30484159568935,24.3644759654999,11.8067698045456,2.18685929523876,5.94575894545968,-15.6080434671007,22.9616953156042,13.7391194243355,5.40853489599145,37.0308095507752,19.4677210722348,,,39.4251968581315,15.0100718033273
