model,description,count,BERTScore,BERTScore_std,BLEU,BLEU_std,SARI,SARI_std,Perplexity,Perplexity_std,FKGL_Delta,FKGL_Delta_std,FRE_Delta,FRE_Delta_std,FKGL_Output,FKGL_Output_std,FRE_Output,FRE_Output_std,Entity_Additions_Rate,Number_Mismatch_Rate
gpt-4o-mini,step 1 - simple prompt engineering,40,0.863552270829678,0.011286506393962,0.048750856116261,0.0263282250591045,36.0887364845911,3.70309868092107,24.6359226942062,5.11660797620377,-4.1077547604157,1.64310855956818,14.9619791819379,6.88086887691161,7.44450536868108,0.999943882400759,67.6008321998139,5.97848463393294,,
sonar-pro,step 1 - simple prompt engineering,40,0.848919402062893,0.0112783120184089,0.0312331045992131,0.0217451045430544,34.5116360074578,3.47483786709409,36.0973248004913,11.6357177173058,-6.91603652375304,2.50459529306944,26.6164299147926,11.9540225984647,4.63622360534374,1.81895514904215,79.2552829326686,9.4616054472431,,
gemini-2.0-flash,step 1 - simple prompt engineering,40,0.844627898931503,0.0127440883485999,0.0226592250168923,0.0175387593353614,33.2344463391269,3.43830678806324,21.2478006124496,4.8849227772753,-6.57950994862032,2.10853115310587,27.0914272566861,9.59320809579966,4.97275018047646,0.921440144997734,79.730280274562,4.96714359628655,,
sonar,step 1 - simple prompt engineering,40,0.849911606311798,0.0133820667279187,0.0273832149386351,0.0182470107196505,34.4491254836343,3.46691622493529,38.7956712722778,11.3631012323642,-7.18260618508371,1.82947708956345,27.9333166956902,8.86164319070984,4.36965394401308,1.43214797999321,80.5721697135662,7.16465819242866,,
llama3.2,step 1 - simple prompt engineering,40,0.84266913831234,0.0117545646546033,0.0347650642718303,0.0179300128960915,33.8442622917852,3.42798856169239,26.0867443561554,6.91594695539521,-3.16338117312357,3.07843897453318,11.8746119083139,12.8878735304552,8.38887895597321,2.36635170459193,64.5134649261898,10.4819190071238,,
