model,count,BERTScore,BERTScore_std,BLEU,BLEU_std,SARI,SARI_std,Perplexity,Perplexity_std,FKGL_Delta,FKGL_Delta_std,FRE_Delta,FRE_Delta_std,FKGL_Output,FKGL_Output_std,FRE_Output,FRE_Output_std,Entity_Additions_Rate,Number_Mismatch_Rate
gemini-2.0-flash,40,0.869372323155403,0.0108378581458589,0.0787041092128579,0.040064649913713,39.1274534512648,4.17334310870431,23.9090125083923,4.02107703340083,-7.99630172497346,1.75223285978616,31.5300708229904,7.69029685692011,3.55595840412332,0.667648735065099,84.1689238408663,4.31757951206277,,
sonar-pro,40,0.859770013391972,0.0187432254272052,0.0579358078227858,0.0387786451502569,36.9616009769891,3.97323188949695,39.2429796695709,12.9988504171069,-8.0469505247284,1.81402557609546,30.2541138716082,7.87921691694778,3.50530960436838,1.10302040764125,82.8929668894841,6.47355369204856,,
llama3.2,40,0.85663907378912,0.0128329109997295,0.0366709834090043,0.02382865703258,34.494460958504,3.4001271833994,30.079054069519,7.93576855684228,-4.04249739511736,2.04295661087077,14.3214722254353,9.05534624466718,7.50976273397942,1.30658916041598,66.9603252433112,7.14578779099378,,
sonar,40,0.85190990716219,0.023715707250023,0.0431993274874461,0.0331413571868299,35.6518299200503,4.6829976329706,39.3573139190674,14.9176618780376,-7.26276976283865,2.86017962008127,26.8849342611521,11.7650374235889,4.28949036625813,2.2950051476385,79.5237872790281,9.65169137719886,,
gpt-4o-mini,40,0.871360789239407,0.0114495851969607,0.0681454265125379,0.0384290741090857,38.0532475443361,4.30546123163371,26.3832468509674,5.08320537127052,-5.08928308369678,1.61449084041189,17.8569202758527,6.93933439578708,6.46297704540001,1.26144693439273,70.4957732937286,7.34267904899016,,
