model,description,count,BERTScore,BERTScore_std,BLEU,BLEU_std,SARI,SARI_std,Perplexity,Perplexity_std,FKGL_Delta,FKGL_Delta_std,FRE_Delta,FRE_Delta_std,FKGL_Output,FKGL_Output_std,FRE_Output,FRE_Output_std,Entity_Additions_Rate,Number_Mismatch_Rate
gpt-4o-mini,step 2 - RAG top k=3 with upgrated prompt,40,0.881358651816845,0.0170193610571367,0.108423024526987,0.0572334844412448,40.7254321079686,4.83998968997661,26.560794711113,5.45321817588778,-4.84963236419804,1.43281808267309,17.5439879038723,5.86295389538779,6.70262776489875,1.12645590224202,70.1828409217482,6.34985422535352,,
gemini-2.0-flash,step 2 - RAG top k=3 with upgrated prompt,40,0.881947132945061,0.0122940676787748,0.0944767233454412,0.0326728851866038,40.9273991540579,3.61140724040075,21.2341283082962,5.88113242594519,-8.09405026057557,1.66914213889045,32.062850493263,7.4679151300953,3.45820986852121,0.755748169526278,84.701703511139,4.58589022453132,,
llama3.2,step 2 - RAG top k=3 with upgrated prompt,40,0.795078986883163,0.00964467919176245,0.00320813940652872,0.0018419434163057,28.7346313271809,2.97409020659438,23.6172737121582,6.66462331256431,1.07000137799986,3.02027371021253,-11.8115063311393,16.9429856240009,12.6222615070966,2.28819156069422,40.8273466867367,13.520424697815,,
sonar,step 2 - RAG top k=3 with upgrated prompt,40,0.885784880816937,0.0213379558482052,0.146860999619567,0.0843409093386202,41.1745193677876,4.87252126604914,39.4750189304352,11.8433328909203,-6.67089513880834,1.99253297385065,24.2220652125616,8.41913048504999,4.88136499028844,1.55083334606399,76.8609182304375,7.54546885266946,,
