model,description,count,BERTScore,BERTScore_std,BLEU,BLEU_std,SARI,SARI_std,Perplexity,Perplexity_std,FKGL_Delta,FKGL_Delta_std,FRE_Delta,FRE_Delta_std,FKGL_Output,FKGL_Output_std,FRE_Output,FRE_Output_std,Entity_Additions_Rate,Number_Mismatch_Rate
llama3.2,step 2 - RAG top k=3,40,0.795190770924091,0.00836905464711323,0.00322053223361317,0.00234231551977708,28.7493995047064,2.98308552829663,23.9219866991043,8.27530113946124,4.27366743730985,13.3090687424995,-22.8980459410259,38.3058045518695,15.8259275664066,12.9581218375546,29.7408070768501,35.3371278936176,,
sonar,step 2 - RAG top k=3,40,0.868470281362534,0.0302626087179109,0.104423518972672,0.0885171733938096,39.1509820777226,5.74669857566709,38.3143939495087,15.2507488554879,-6.3397053924886,3.13909922134778,22.5747210806464,13.445116214983,5.21255473660819,3.22959657161742,75.2135740985224,14.8309696221432,,
gpt-4o-mini,step 2 - RAG top k=3,40,0.877580893039703,0.0134373255237741,0.0826308165143845,0.0443522419635941,39.0550536290547,4.57229582607776,24.8008199691772,4.66829370889089,-4.50619535100365,1.47152822947553,16.0248431946837,6.49804112619003,7.04606477809313,1.2850573508574,68.6636962125596,7.16801571829329,,
gemini-2.0-flash,step 2 - RAG top k=3,40,0.877809610962868,0.0124891206932129,0.0966372561426963,0.0395122450411388,40.4127136814471,4.16103562307197,23.7798018932343,6.79032584592396,-7.80682918605971,1.62509947652086,30.2743097243345,7.26202918829176,3.74543094303707,0.68489159882422,82.9131627422104,4.60837148089454,,
