model,phase,experiment_group,strategy,description,retrieval,count,sari_mean,sari_std,bertscore_mean,bertscore_std,bleu_mean,bleu_std,lens_mean,lens_std,rank_metric,version,count_with_bertscore,perplexity_mean,perplexity_std,fkgl_delta_mean,fkgl_delta_std,fre_delta_mean,fre_delta_std,fkgl_output_mean,fre_output_mean
claude-haiku-4-5,E5 RAG v3,E5-RAG,constraint,E5-RAG-full,e5,40,45.0029742365495,4.17638276799635,0.897035078704357,0.014531420235085,0.222033173922482,0.0716239732827433,68.6499946187429,9.44827592818738,sari_mean,v3,40,29.7591007232666,6.31607697561107,-5.26405719625332,1.50825431855977,16.7610668487856,5.62193843154498,6.28820293284346,69.3999198666615
gemini-2.0-flash,Open AI RAG v3,OpenAI-RAG-v3,structured,step 2 - RAG top k=3 with upgrated prompt,openai,40,42.5687629094681,4.26086780305768,0.886642096936703,0.0136295995448615,0.131450000537727,0.0457963225492635,72.8699020381878,7.37462276567427,sari_mean,v3,40,23.4348793029785,4.98567468541054,-7.42980019412046,1.73610250460587,29.1424353586814,7.65025661349311,4.12245993497633,81.7812883765574
gpt-4o-mini,PE_v1,PE-v1,constraint,step 1 - simple prompt engineering,none,189,43.5239923466845,3.66093428072407,0.89121748625286,0.0144059624829293,0.150830787894979,0.0567767896182974,69.0658379327981,7.78833754524385,sari_mean,v1,189,26.1006912453465,4.9715687265992,-4.93035296807068,1.45489348407902,18.1616406247653,5.9425746133907,6.32733191076271,71.4707609418522
llama3.2,PE_v2,PE-v2,structured,step 1 - simple prompt engineering,none,189,34.9449346575756,3.56356686356418,0.859322782862123,0.0122991436881755,0.0407626521770159,0.0259257231237974,69.4367252256374,9.2406980396011,sari_mean,v2,189,31.4311096504252,9.56216397699705,-3.63011426999049,1.9252743505738,12.9307822568811,8.71823755526151,7.6275706088429,66.2399025739681
sonar,E5 RAG v3,E5-RAG,constraint,E5-RAG-full,e5,40,42.8722926321969,4.46038065886358,0.893437892198563,0.0163836724479441,0.195565916546178,0.0845377116801541,48.6259860473383,14.7966684816261,sari_mean,v3,40,38.6817587852478,13.0467985759699,-6.59609601561143,1.94894376679615,22.2854751542328,7.89354117316352,4.95616411348536,74.9243281721087
