rag_setting,phase,experiment_group,retrieval,description,model,strategy,count,sari_mean,sari_std,bertscore_mean,bertscore_std,bleu_mean,bleu_std,perplexity_mean,perplexity_std,lens_mean,lens_std
OpenAI-RAG-v3-clean,Open AI RAG v3,OpenAI-RAG-v3,openai,step 2 - RAG top k=3 with upgrated prompt,gemini-2.0-flash,constraint,40,42.0621711545723,3.733005168019,0.8847462490201,0.0118482792273773,0.123672691999764,0.0355328406703948,26.6319291591644,5.94902013538409,64.7435056203183,10.0871103646295
OpenAI-RAG-v3-clean,Open AI RAG v3,OpenAI-RAG-v3,openai,step 2 - RAG top k=3 with upgrated prompt,gemini-2.0-flash,structured,40,42.5687629094681,4.26086780305768,0.886642096936703,0.0136295995448615,0.131450000537727,0.0457963225492635,23.4348793029785,4.98567468541054,72.8699020381878,7.37462276567427
OpenAI-RAG-v3-clean,Open AI RAG v3,OpenAI-RAG-v3,openai,step 2 - RAG top k=3 with upgrated prompt,gemini-2.0-flash,zeroshot,40,40.9273991540579,3.61140724040076,0.881947132945061,0.0122940676787748,0.0944767233454412,0.0326728851866038,21.2341283082962,5.88113242594518,68.5117176085486,8.83049661966347
BGE-RAG-full,BGE RAG v3,BGE-RAG,bge,BGE-RAG-full,gpt-4o-mini,constraint,40,43.2218996791788,4.32902273480971,0.891997028887272,0.0141561345452945,0.156030315157885,0.0609607648347306,27.3506896972656,4.67517815504312,72.4208684704775,5.43684487601815
BGE-RAG-full,BGE RAG v3,BGE-RAG,bge,BGE-RAG-full,gpt-4o-mini,structured,40,38.8832658996979,4.96808128485243,0.874294513463974,0.0193376552819639,0.0870032407393688,0.0502283381215533,40.2303067207336,81.3774674019066,72.2672582133681,13.5082629743031
BGE-RAG-full,BGE RAG v3,BGE-RAG,bge,BGE-RAG-full,gpt-4o-mini,zeroshot,40,40.9412242451829,4.24468814351281,0.884841218590736,0.0145087423413984,0.114083351799771,0.0511848385720274,26.4294461250305,5.59853266897193,73.243799381863,6.85604777849233
E5-RAG-full,E5 RAG v3,E5-RAG,e5,E5-RAG-full,gpt-4o-mini,constraint,40,42.8474984851908,5.13323284242444,0.889569063484669,0.021270448651976,0.152357143310268,0.0712115726991305,27.9803720474243,5.30514788831138,72.3924079762855,6.51779713425074
E5-RAG-full,E5 RAG v3,E5-RAG,e5,E5-RAG-full,gpt-4o-mini,structured,40,38.9260135626801,4.03660911543036,0.874828554689884,0.0156166639757141,0.0849552711237516,0.0461510082451834,26.2973499774933,3.95218116131674,74.996956716954,6.52925550556198
E5-RAG-full,E5 RAG v3,E5-RAG,e5,E5-RAG-full,gpt-4o-mini,zeroshot,40,41.2136500751007,4.78984951128827,0.88213576823473,0.0188618189864179,0.117387433096798,0.0559056186284612,25.8748385906219,6.01039375364536,72.0592724847917,8.4618996535555
OpenAI-RAG-k3,Open AI RAG v2,OpenAI-RAG-v2,openai,step 2 - RAG top k=3,gpt-4o-mini,constraint,40,42.4696138198622,4.35304388921855,0.884512823820114,0.0180685841074405,0.14089949110649,0.0526894884782658,25.9249855518341,4.82006539829382,66.9529721470682,10.7309649120518
OpenAI-RAG-k3,Open AI RAG v2,OpenAI-RAG-v2,openai,step 2 - RAG top k=3,gpt-4o-mini,structured,40,39.0550536290547,4.57229582607776,0.877580893039703,0.0134373255237741,0.0826308165143845,0.0443522419635941,24.8008199691772,4.66829370889089,73.3877075070727,10.0928370272754
OpenAI-RAG-k3,Open AI RAG v2,OpenAI-RAG-v2,openai,step 2 - RAG top k=3,gpt-4o-mini,zeroshot,40,40.3047039444095,5.10004454766945,0.873638747632503,0.0258364951736409,0.0997330389299725,0.0524436462560901,20.6309523582458,4.96504608712323,66.6217789705598,9.89285862294764
OpenAI-RAG-v3-clean,Open AI RAG v3,OpenAI-RAG-v3,openai,step 2 - RAG top k=3 with upgrated prompt,gpt-4o-mini,constraint,40,43.2475340022736,4.5469707316009,0.892079703509808,0.01768264511142,0.157813371279111,0.0738308559682797,26.6697216510773,4.916912303779,71.5325605731359,6.81849457410531
OpenAI-RAG-v3-clean,Open AI RAG v3,OpenAI-RAG-v3,openai,step 2 - RAG top k=3 with upgrated prompt,gpt-4o-mini,structured,40,38.7505978756815,4.20595130003773,0.874363331496716,0.0159920022340564,0.0819628907933073,0.0429090371412894,26.1242065429688,4.57508191805627,76.3316913701979,5.60602785952374
OpenAI-RAG-v3-clean,Open AI RAG v3,OpenAI-RAG-v3,openai,step 2 - RAG top k=3 with upgrated prompt,gpt-4o-mini,zeroshot,40,40.7254321079686,4.83998968997661,0.881358651816845,0.0170193610571367,0.108423024526987,0.0572334844412448,26.560794711113,5.45321817588778,71.7447614789824,7.14418310095892
BGE-RAG-full,BGE RAG v3,BGE-RAG,bge,BGE-RAG-full,llama3.2,constraint,40,28.5564583349409,2.63156343801276,0.792888437211513,0.0105393261486823,0.0028882635095869,0.0023812414199813,26.3852390408516,12.0996660388941,34.154513243807,17.6289019268974
BGE-RAG-full,BGE RAG v3,BGE-RAG,bge,BGE-RAG-full,llama3.2,structured,40,28.3795270384592,3.02055567556215,0.795337238907814,0.0103728077366794,0.0028654933777816,0.0034684647562928,25.2912973880768,10.9965746968697,38.9270719907435,12.9242404943763
BGE-RAG-full,BGE RAG v3,BGE-RAG,bge,BGE-RAG-full,llama3.2,zeroshot,40,28.6262345106422,2.7212736832764,0.795408314466476,0.0094813635115442,0.0035055269880788,0.0038274661455084,24.0138180017471,7.92680749028333,37.7406171234292,15.2061404959995
E5-RAG-full,E5 RAG v3,E5-RAG,e5,E5-RAG-full,llama3.2,constraint,40,28.5976463126779,2.78899842258008,0.793538200855255,0.0091718301748979,0.0026381562772779,0.001456115837019,25.1898367881775,8.8619546167625,37.1067932276149,17.5219876935375
