model,version,description,strategy,item_id,bertscore,bleu,sari,perplexity,fkgl_delta,fre_delta,fkgl_input,fkgl_output,fre_input,fre_output,lens,phase,experiment_group,retrieval
llama3.2,v3,BGE-RAG-full,constraint,3a060cd3-bab9-487a-8ead-e5e4e9533fb4,0.787075877189636,0.00575922575638124,24.0156310796163,18.88232421875,3.28431141513332,-24.0831973453241,10.0616105056878,13.3459219208211,61.4220802265558,37.3388828812317,51.5858257264145,BGE RAG v3,BGE-RAG,bge
llama3.2,v3,BGE-RAG-full,structured,6384d603-ea8a-4dd9-8f11-9c29ff53e2a7,0.795602560043335,0.00135445085365442,26.5080447765208,29.8422679901123,-3.05378102007732,11.1389430631097,14.0566598079561,11.0028787878788,44.2228751187085,55.3618181818182,39.7249855561225,BGE RAG v3,BGE-RAG,bge
llama3.2,v3,BGE-RAG-full,zeroshot,e16d0245-d26e-49a5-aa1e-f48eb0da88cf,0.800818026065826,0.00347523563940265,30.7085197909517,14.2934141159058,-1.20630287000055,3.89481028571782,9.75240354206199,8.54610067206145,54.4448481973435,58.3396584830613,55.0020617780911,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,zeroshot,bb974d41-cebc-4517-b191-9e5e655082ed,0.87404203414917,0.114527278495008,40.3205563590448,29.3961334228516,-9.70297935841601,36.3239289244239,13.3709300693165,3.66795071090047,47.4738549618321,83.797783886256,67.423163108064,BGE RAG v3,BGE-RAG,bge
llama3.2,v3,BGE-RAG-full,structured,fcb403f4-fb1f-43b2-9ea3-ea305df150a9,0.797765016555786,0.00254672676380665,30.8043450186366,15.1628408432007,6.60961913638302,-52.6025693766005,10.7974631495228,17.4070822859058,59.6397790296925,7.03720965309202,38.0520923987989,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,zeroshot,12d0e40d-427e-4141-b6d0-35c73bc81a06,0.907301068305969,0.251160893846593,51.391048533961,22.997241973877,-6.19059114920686,24.9075420473168,8.71158130622585,2.52099015701899,65.2295888408951,90.1371308882119,74.8175631202012,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,structured,441e1abc-3b46-42f4-80ad-146bba92e35d,0.887407243251801,0.0861092916959116,39.1683341975771,37.9289627075195,-7.15023066135742,24.3490925193742,10.4131310942579,3.26290043290043,62.5585120982304,86.9076046176046,69.0756549091342,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,zeroshot,dd8d82a5-887c-4afb-a06d-31b0e3648949,0.873511135578156,0.0736565545997968,44.3677535813622,23.2315692901611,-8.18175308968732,33.1975149020713,11.8571499150841,3.67539682539683,49.9705233904586,83.1680382925298,78.7000023380069,BGE RAG v3,BGE-RAG,bge
sonar,v3,BGE-RAG-full,constraint,fc62cc95-04c5-43ed-bbb6-4c0a764ce22c,0.91093772649765,0.211040189282906,44.3787020888157,35.3145904541016,-6.40995885575541,23.6843394629722,12.0914851715449,5.68152631578947,45.8777394843962,69.5620789473684,66.2972723612535,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,zeroshot,a4bfb6c9-aedb-49b4-b108-cd531f75fcc1,0.873179912567139,0.1146749707016,37.0901927927411,15.1295785903931,-10.4541087789054,41.726247294916,13.5241436464088,3.07003486750349,47.6982256693583,89.4244729642742,57.0013053003446,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,constraint,a4bfb6c9-aedb-49b4-b108-cd531f75fcc1,0.873088598251343,0.126494658009412,37.5548213665005,24.9986476898193,-10.7243938980988,41.5753564774369,13.5241436464088,2.79974974831008,47.6982256693583,89.2735821467952,62.4062427133537,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,zeroshot,851bf72f-5b5f-44fe-ace0-0810ec4b40da,0.85238653421402,0.0725721780073252,38.7246776391718,25.5769329071045,-7.82865999644457,31.592026060796,11.4038664802351,3.57520648379053,52.1226240638923,83.7146501246883,77.1940794039669,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,zeroshot,6cd5eb7c-989c-4f3c-a7c9-89654de0839e,0.878717422485352,0.111876509326578,41.577455229809,22.0828838348389,-7.11473919155996,25.0303099785369,12.7193479844065,5.6046087928465,47.134904253952,72.1652142324888,78.7691668614532,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,structured,75a77e5d-ece0-4c1d-a853-f709fa0c7654,0.873679399490356,0.100612542233176,41.3078566308337,22.7983303070068,-7.76187768004444,31.6888759523043,11.8338217122683,4.07194403222388,49.1345160341277,80.8233919864321,65.1999549043344,BGE RAG v3,BGE-RAG,bge
sonar,v3,BGE-RAG-full,constraint,4aba896b-a5de-4627-b352-885797a43796,0.895277798175812,0.212082944762816,45.5875291632545,32.7757034301758,-5.20775991811307,17.5742611613512,8.21236770400115,3.00460778588808,70.5875118313495,88.1617729927007,54.5188676948441,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,constraint,3a060cd3-bab9-487a-8ead-e5e4e9533fb4,0.902978360652924,0.179831090585539,36.3725135161655,22.690055847168,-6.0415239496646,23.5019636867294,10.0616105056878,4.02008655602319,61.4220802265558,84.9240439132852,54.6926547084853,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,constraint,7483ce90-b82e-4c87-8fa1-baad08b10f00,0.886035978794098,0.169078968530023,45.6665051622742,30.2028579711914,-8.63125041397582,31.380310171386,11.3453282828283,2.71407786885246,57.8046590909091,89.1849692622951,64.7410597698117,BGE RAG v3,BGE-RAG,bge
sonar,v3,BGE-RAG-full,zeroshot,dd8d82a5-887c-4afb-a06d-31b0e3648949,0.886138617992401,0.141072929025459,45.2160830404367,25.3540153503418,-5.03096110389533,19.0092726468375,11.8571499150841,6.82618881118882,49.9705233904586,68.979796037296,79.5955048415117,BGE RAG v3,BGE-RAG,bge
sonar,v3,BGE-RAG-full,zeroshot,94be58eb-98f9-4d4d-8583-26b18721cdbc,0.788906276226044,0.000399010219194854,21.5933876769674,52.1024894714355,3.37244348278471,-14.1229016505864,10.801723183882,14.1741666666667,50.3104016505865,36.1875,35.3353760305287,BGE RAG v3,BGE-RAG,bge
sonar,v3,BGE-RAG-full,structured,12d0e40d-427e-4141-b6d0-35c73bc81a06,0.878419697284698,0.135112147020964,45.1837134557829,26.9698467254639,-6.1087241633687,23.0458873495811,8.71158130622585,2.60285714285714,65.2295888408951,88.2754761904762,77.8436974337363,BGE RAG v3,BGE-RAG,bge
gemini-2.0-flash,v3,BGE-RAG-full,structured,980974d6-79dc-49f9-bb69-7be26d62db4d,0.891524851322174,0.116151989053199,43.7361645979969,18.627779006958,-10.03678945581,42.1478427720709,14.8657386363636,4.82894918055365,36.7095935314686,78.8574363035395,61.9172928433474,BGE RAG v3,BGE-RAG,bge
sonar,v3,BGE-RAG-full,structured,188e30a2-2c4c-4b1f-a70a-442743342df7,0.874930918216705,0.0839073128180802,42.0070669249404,43.4836044311523,-7.55371641160772,28.0955496351475,11.5447634032634,3.99104699165569,51.7601381118881,79.8556877470356,59.2623009456561,BGE RAG v3,BGE-RAG,bge
sonar,v3,BGE-RAG-full,zeroshot,f9fa6b86-c61b-4846-9ed7-4cbf48a5ee88,0.871971309185028,0.123783498339854,40.1381663983732,22.4594078063965,-6.16420273648397,20.0796061145954,10.1351373033015,3.97093456681748,61.6678977681786,81.747503882774,74.6958290711321,BGE RAG v3,BGE-RAG,bge
sonar,v3,BGE-RAG-full,structured,7894abc5-bef9-4465-b5e0-d436c286d3d8,0.870075166225433,0.118196103230778,40.0652600827927,40.8795585632324,-6.38758850966737,28.8521523729677,9.70420831406835,3.31661980440098,56.4410470345929,85.2931994075607,48.0607918396653,BGE RAG v3,BGE-RAG,bge
sonar,v3,BGE-RAG-full,zeroshot,851bf72f-5b5f-44fe-ace0-0810ec4b40da,0.864070653915405,0.0772448320387987,39.824726749549,40.8364944458008,-8.37659375296237,32.120507249239,11.4038664802351,3.02727272727273,52.1226240638923,84.2431313131313,53.8292141642371,BGE RAG v3,BGE-RAG,bge
sonar,v3,BGE-RAG-full,structured,92263143-88ab-40cc-8db7-14d0d4309857,0.858081519603729,0.038455574989079,32.8558472067244,28.9401416778564,-8.23128059686284,23.9756914432467,13.446339986911,5.21505939004815,51.8139602421466,75.7896516853933,78.4479930755879,BGE RAG v3,BGE-RAG,bge
