model,version,description,strategy,count,count_with_bertscore,bertscore_mean,bertscore_std,bleu_mean,bleu_std,sari_mean,sari_std,perplexity_mean,perplexity_std,lens_mean,lens_std,fkgl_delta_mean,fkgl_delta_std,fre_delta_mean,fre_delta_std,fkgl_output_mean,fre_output_mean,phase,experiment_group,retrieval
claude-haiku-4-5,v1,step 1 - simple prompt engineering,constraint,189,189,0.871269929661322,0.0124982984073173,0.0881347860292096,0.0411717537252277,39.7795300948722,3.90790363345181,29.5352057300547,6.23616317943336,53.6680774092567,13.9405207311228,-6.57988630632178,1.82806755666968,23.5285707080219,8.56536991224878,4.67779857251161,76.8376910251089,PE_v1,PE-v1,none
claude-haiku-4-5,v1,step 1 - simple prompt engineering,structured,189,189,0.855904379218974,0.011179137128129,0.0490826116587031,0.02967056973988,36.2643176695447,3.73484983771481,27.4419847720515,5.61492190123732,51.7053552452777,14.4442399234239,-5.12612030188686,1.96888311588319,17.9637188098505,8.59781623293176,6.13156457694653,71.2728391269374,PE_v1,PE-v1,none
claude-haiku-4-5,v1,step 1 - simple prompt engineering,zeroshot,189,189,0.855616098358518,0.0107060296235715,0.0406149577144889,0.0258197726690529,35.4473322524467,3.6140617088197,27.1164539377525,5.50923446019972,55.2314346348366,13.7114286641787,-5.30062945986754,1.99882661489566,19.734071610758,8.51179215613671,5.95705541896585,73.0431919278449,PE_v1,PE-v1,none
claude-haiku-4-5,v1,step 2 - RAG top k=3,constraint,40,40,0.886990128457546,0.014673281182571,0.183037772891832,0.0645643956967511,44.4176095538797,3.66279897352213,28.1935908794403,5.25487220607101,55.5128783016624,12.678518473504,-5.73334370885755,1.75897537017534,19.4573505104379,6.99242916894962,5.81891642023924,72.0962035283139,Open AI RAG v2,OpenAI-RAG-v2,openai
claude-haiku-4-5,v2,step 1 - simple prompt engineering,constraint,189,189,0.876470464562613,0.0133772210049179,0.1011609122694,0.0465007667593013,40.7814303557461,3.97581087638817,27.9254935632938,5.81266022884645,59.0957312326215,12.3783880270038,-6.80323484426788,1.73388072283129,25.5944085350203,7.72821772238759,4.45445003456552,78.9035288521073,PE_v2,PE-v2,none
claude-haiku-4-5,v2,step 1 - simple prompt engineering,structured,189,189,0.869814871164857,0.0126188779508357,0.0785352554688466,0.0400331654424885,39.1189470098433,3.6087559280307,26.6984191016545,5.78672409154009,60.1446391907126,12.4485758945432,-6.38165167951509,1.7415637408398,22.4149934177451,7.77293207932802,4.8760331993183,75.7241137348321,PE_v2,PE-v2,none
claude-haiku-4-5,v2,step 1 - simple prompt engineering,zeroshot,189,189,0.870761555023294,0.0124778243804915,0.0760316716120447,0.0390726405517453,39.1510586816304,3.73830991605416,30.0182682673136,7.33106232671341,60.4389715918536,11.650903513922,-6.60162809313511,1.82902682636792,23.4428807417234,8.30331839303242,4.65605678569829,76.7520010588104,PE_v2,PE-v2,none
claude-haiku-4-5,v2,step 2 - RAG top k=3,structured,40,40,0.876337359845638,0.0111360187796544,0.113249009248165,0.0561894606366742,41.2050491593988,4.3558930219945,25.8330665826797,5.70664878339831,63.6720719797502,11.8684014658733,-6.07131545813957,1.89650223382111,20.2290531289579,8.16750046585904,5.48094467095721,72.8679061468338,Open AI RAG v2,OpenAI-RAG-v2,openai
claude-haiku-4-5,v2,step 2 - RAG top k=3,zeroshot,40,40,0.878868670761585,0.0138597231310024,0.116197051001848,0.0541765721139783,41.3431487071681,4.33640327366722,28.4414377212524,5.97680153580142,62.2436881156812,11.0123605552579,-6.18608820172796,1.8455080829999,21.2532982464942,8.19536798327733,5.36617192736882,73.8921512643702,Open AI RAG v2,OpenAI-RAG-v2,openai
claude-haiku-4-5,v3,BGE-RAG-full,constraint,40,40,0.894420114159584,0.0148445403416706,0.210335133137916,0.081856847733057,43.835772089803,3.6613591817982,29.0307355880737,6.18515205373214,70.2893699357147,7.95588443124159,-5.27706360257366,1.69331300437701,17.2315018032095,6.54494915130908,6.27519652652313,69.8703548210854,BGE RAG v3,BGE-RAG,bge
claude-haiku-4-5,v3,BGE-RAG-full,structured,40,40,0.888626880943775,0.014925538469533,0.177172176175332,0.0813143049930129,43.7370101668549,4.03206541064552,26.8180619239807,5.9436099492368,71.7128240240245,6.79230105157198,-5.74934451593133,1.50243397740795,19.0628341293078,5.87195000286618,5.80291561316545,71.7016871471838,BGE RAG v3,BGE-RAG,bge
claude-haiku-4-5,v3,BGE-RAG-full,zeroshot,40,40,0.887555769085884,0.0176493554471364,0.172844432357829,0.0930924173981682,42.8893911129503,3.98059639472581,29.4688663482666,8.03169411221549,71.2091549642439,7.35048960379637,-5.76930583311957,1.80128197473082,19.5221510778742,7.94187843661164,5.78295429597722,72.1610040957501,BGE RAG v3,BGE-RAG,bge
claude-haiku-4-5,v3,E5-RAG-full,constraint,40,40,0.897035078704357,0.014531420235085,0.222033173922482,0.0716239732827433,45.0029742365495,4.17638276799635,29.7591007232666,6.31607697561107,68.6499946187429,9.44827592818738,-5.26405719625332,1.50825431855977,16.7610668487856,5.62193843154498,6.28820293284346,69.3999198666615,E5 RAG v3,E5-RAG,e5
claude-haiku-4-5,v3,E5-RAG-full,structured,40,40,0.887826760113239,0.0153666758986747,0.173293375820542,0.0686926627519687,43.6831147419844,3.85077071778361,26.5582510471344,5.0034773834848,70.1629026565173,8.0257712795029,-5.70692227217325,1.6239991169909,18.8046534868767,6.98371482264288,5.84533785692353,71.4435065047526,E5 RAG v3,E5-RAG,e5
claude-haiku-4-5,v3,E5-RAG-full,zeroshot,40,40,0.888358329236507,0.0166423975696886,0.167784110964525,0.0692236001416976,43.4079740490625,4.60547593425644,29.1866955757141,7.01019198819441,72.8629543994181,6.66720442734338,-5.72780706594185,1.63588749364786,19.6470050080464,6.8609207268441,5.82445306315493,72.2858580259223,E5 RAG v3,E5-RAG,e5
